HOST,seq_num,is_image,add_orderid,add_side,add_price,add_qty,add_position,update_orderid,update_side,update_price,update_qty,update_position,delete_orderid,delete_side,trade_orderid,trade_side,trade_qty,trade_price
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7182073449429427187,BUY,0.255,100000,92,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7185824983103355099,BUY,0.24,1000000,158,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7181677625244223286,BUY,0.255,100000,89,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178511031756021751,BUY,0.245,60000,130,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7184052570361089476,BUY,0.265,150000,34,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7182073449429409339,BUY,0.265,110000,25,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7184052570359556069,BUY,0.265,65000,24,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7185824983104120552,BUY,0.27,2500,14,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7184448394545384030,BUY,0.265,60000,35,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178511031755406117,BUY,0.25,100000,105,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178906855942426460,BUY,0.255,585400,74,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178511031755557732,BUY,0.23,4000,173,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7181677625244887167,BUY,0.26,202600,50,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7184448394545427274,BUY,0.265,500000,40,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7184448394545434896,BUY,0.265,20000,41,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7184052570360186819,BUY,0.26,100000,65,,BUY,,,,,BUY,,BUY,,
